uuid,source_dir,index,json_file,visual_glb,collision_glb,image_file
dd9a5591-3bdf-40f6-8624-6c5ae31d1200,001_bottle,0,model_data0.json,base0.glb,base0.glb,base0.jpg
b899162c-41d7-4c15-9fcf-45ce73862f38,001_bottle,1,model_data1.json,base1.glb,base1.glb,base1.jpg
53ece91a-9d1b-4e76-a6fc-47ff78e50d60,001_bottle,2,model_data2.json,base2.glb,base2.glb,base2.jpg
25bbaa4b-4899-448e-8bec-782ef6516aa6,001_bottle,3,model_data3.json,base3.glb,base3.glb,base3.jpg
a31a731f-1d98-4177-af89-41cca9f41d00,001_bottle,4,model_data4.json,base4.glb,base4.glb,base4.jpg
64cf4161-4fd9-4063-819f-75844dc64b9e,001_bottle,5,model_data5.json,base5.glb,base5.glb,base5.jpg
11963a85-78c1-44a4-9ec9-7df1f587662c,001_bottle,6,model_data6.json,base6.glb,base6.glb,base6.jpg
3d0407f7-d002-4d86-97eb-6c524ed0ebca,001_bottle,7,model_data7.json,base7.glb,base7.glb,base7.jpg
6b5eca07-f589-4087-8d1f-8d229b1d99d1,001_bottle,8,model_data8.json,base8.glb,base8.glb,base8.jpg
23425baf-9c0b-4412-b74c-1e97dc02fe8d,001_bottle,9,model_data9.json,base9.glb,base9.glb,base9.jpg
265e77ae-5ca8-41cf-a754-292a536cbd02,001_bottle,10,model_data10.json,base10.glb,base10.glb,base10.jpg
502747d8-a443-4335-946d-8800cc41042f,001_bottle,11,model_data11.json,base11.glb,base11.glb,base11.jpg
65a00983-6341-4343-988d-81bfb64678cb,001_bottle,12,model_data12.json,base12.glb,base12.glb,base12.jpg
76a8e470-8071-44f3-bc29-084fdd0fb8e5,001_bottle,13,model_data13.json,base13.glb,base13.glb,base13.jpg
680cb6b6-c89b-4de7-a13a-65ec92f709e1,001_bottle,14,model_data14.json,base14.glb,base14.glb,base14.jpg
9a274802-8c2e-4b75-acc3-4d8d789d262a,001_bottle,15,model_data15.json,base15.glb,base15.glb,base15.jpg
